services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
auto,2024-06-28,22:55:08.542646,completed,Hulimavu Cutting,HRBR Layout Valley,37,RD3592571330485165,48.12,811.27,41.32,852.59,Amazon Pay
auto,2024-08-08,11:59:04.542646,completed,Billekahalli Cove,Hennur Road 1st Block,42,RD8817673455871975,2.36,188.04,46.52,234.56,GPay
parcel,2024-08-08,00:57:02.542646,completed,Banaswadi District,Sadashiva Nagar Court,50,RD1385843052752492,37.5,473.87,13.24,487.11,Amazon Pay
parcel,2024-07-22,10:04:38.542646,completed,Hebbal Kempapura Ridge,Ramnagar 1st Stage,104,RD7208906531384606,3.04,617.35,33.34,650.69,Paytm
auto,2024-07-03,01:01:29.542646,completed,Rajarajeshwari Nagar Bridge,ITI Layout Close,11,RD0654632158879742,9.52,306.79,44.68,351.47,GPay
cab economy,2024-07-08,01:16:16.542646,completed,Kudlu Gate Fields,Subramanyapura Pass,117,RD2239177732142431,37.93,853.42,39.57,892.99,GPay
auto,2024-07-01,07:18:36.542646,completed,Byatarayanapura Plaza,Koramangala 6th Block Ridge,46,RD1117035760652729,21.6,907.37,20.55,927.92,GPay
bike,2024-06-21,06:23:04.542646,completed,Whitefield Hills,MG Road Hills,49,RD4226811079858075,12.8,131.29,29.98,161.26999999999998,GPay
auto,2024-08-03,08:46:32.542646,completed,Koramangala 4th Block Place,Jakkasandra Landing,95,RD1382587140891268,21.43,70.55,45.91,116.46,GPay
bike,2024-06-29,01:00:58.542646,completed,Balagere 1st Stage,Sonnenahalli Lane,105,RD4382177005818484,29.09,221.09,27.5,248.59,QR scan
parcel,2024-07-02,04:10:03.542646,completed,Kothaguda Vista,Bagalur Lane,71,RD7958326265710860,5.94,707.21,1.91,709.12,Paytm
cab economy,2024-06-28,01:18:09.542646,completed,Jakkur Meadows,Rajarajeshwari Nagar Pass,47,RD1055432783395596,28.64,484.33,34.22,518.55,Paytm
cab economy,2024-07-20,12:24:50.542646,cancelled,Vidyaranyapura Summit,Agara Mews,48,RD8925634951822521,7.05,,,,nan
bike,2024-08-05,16:43:22.542646,completed,Kaval Byrasandra Run,Harohalli Fields,60,RD3943555672355131,45.35,731.36,39.42,770.78,QR scan
auto,2024-07-06,11:05:31.542646,cancelled,Chikkagubbi Village,Horamavu Banaswadi Alcove,118,RD7321545592072979,9.25,,,,nan
cab economy,2024-08-01,14:58:16.542646,completed,HRBR Layout Terrace,Dasarahalli Quay,112,RD4559266573098093,19.88,668.25,15.86,684.11,Paytm
cab economy,2024-07-22,01:09:16.542646,completed,JP Nagar 6th Block,Ganganagar Cut,88,RD1722345523604383,10.31,164.02,20.01,184.03,Amazon Pay
bike,2024-07-25,15:01:32.542646,completed,Bellandur Ridge,Devarachikkanahalli Heights,76,RD5941720751250248,33.64,811.76,14.11,825.87,Paytm
auto,2024-08-12,15:44:06.542646,completed,Kudlu Gate Farms,Attibele Plaza,51,RD4046588375441329,3.33,399.65,49.05,448.7,Paytm
auto,2024-07-23,10:50:48.542646,completed,Rachenahalli Depot,Madiwala Cut,68,RD7350321719400471,49.83,959.99,7.62,967.61,Amazon Pay
auto,2024-08-10,21:19:50.542646,completed,Dooravani Nagar Station,Avalahalli Cove,48,RD4144498193705965,16.61,105.99,4.11,110.1,GPay
parcel,2024-07-28,17:55:30.542646,completed,Ramnagar Crescent,Jayanagar Pier,53,RD9772479317279932,41.25,221.95,21.74,243.69,Amazon Pay
auto,2024-07-23,16:28:51.542646,completed,Mahadevapura 2nd Block,Chikkalasandra Pass,91,RD7577082038350614,49.17,177.7,38.45,216.14999999999998,Paytm
bike lite,2024-07-08,04:44:56.542646,completed,Bhuvaneshwari Nagar Trail,Chandra Layout Alley,83,RD6340674467746910,45.44,808.37,22.93,831.3,Paytm
cab economy,2024-07-23,16:31:17.542646,completed,Doddaballapur District,Sarjapur Farms,28,RD2235816582429647,17.52,485.28,9.32,494.59999999999997,QR scan
auto,2024-06-24,07:24:54.542646,completed,Chikkajala Quarry,JP Nagar Trail,95,RD1217475833620683,21.4,421.35,38.34,459.69000000000005,Paytm
bike,2024-07-22,22:37:33.542646,completed,Whitefield District,Devarachikkanahalli Esplanade,82,RD8131157570752979,41.72,449.51,17.19,466.7,Paytm
auto,2024-06-26,08:16:18.542646,completed,Banashankari Viewpoint,Bellandur Outer Ring Road Village,34,RD2539243082211667,36.47,82.59,37.1,119.69,Amazon Pay
auto,2024-08-06,21:18:28.542646,completed,Sarjapur Quarry,Kengeri Close,29,RD1555077673954099,15.18,184.47,31.56,216.03,GPay
bike,2024-07-27,05:56:36.542646,cancelled,Munnekollal Square,Koramangala 7th Block Landing,15,RD9106570890666222,25.6,,,,nan
bike,2024-06-23,13:01:37.542646,completed,Koramangala 8th Block Court,Whitefield Yard,58,RD3499114958541606,28.83,387.96,34.13,422.09,QR scan
bike lite,2024-06-28,12:34:51.542646,completed,Kudlu Gate Cove,Hulimavu Fields,93,RD5465696192903363,44.43,314.92,17.6,332.52000000000004,Amazon Pay
bike lite,2024-08-04,12:14:32.542646,completed,Jakkur View,Koramangala 4th Stage,114,RD4518928319915400,49.64,448.98,38.46,487.44,GPay
cab economy,2024-08-02,08:56:58.542646,completed,Nayandahalli Meadows,Horamavu Zone,107,RD2000076619721455,48.49,691.02,28.65,719.67,Amazon Pay
cab economy,2024-07-07,05:18:40.542646,completed,Bommanahalli Plaza,Basavanagudi Pointe,56,RD6532816509887593,7.64,419.65,37.16,456.80999999999995,GPay
parcel,2024-07-04,17:55:31.542646,completed,Harohalli Fields,Sanjay Nagar District,38,RD1904744635291394,16.27,381.23,47.65,428.88,Amazon Pay
bike,2024-07-23,17:59:05.542646,completed,Jayanagar Village,Hennur Farms,13,RD8085277544074809,19.98,195.8,6.89,202.69,GPay
bike,2024-08-13,01:07:33.542646,completed,Nagawara Nagar,Chikkalasandra 4th Stage,14,RD8540894002304472,14.15,147.64,24.65,172.29,Amazon Pay
bike,2024-06-24,08:16:15.542646,completed,Hosur Fork,Bommanahalli Passage,117,RD9207429821660459,18.06,925.96,31.0,956.96,GPay
auto,2024-08-06,23:49:54.542646,cancelled,Bikasipura Cut,Chikkagubbi 2nd Stage,68,RD8572097109759067,22.79,,,,nan
bike,2024-08-01,06:16:57.542646,completed,Marathahalli Pointe,Agara Drive,118,RD7335910948713877,41.25,476.62,7.8,484.42,QR scan
cab economy,2024-07-26,21:45:48.542646,completed,Kudlu District,Bikasipura Trail,75,RD2580649401514739,27.42,954.78,36.66,991.4399999999999,QR scan
bike,2024-08-03,15:25:44.542646,completed,Agara Plaza,HSR Layout Passage,23,RD0651284665872375,21.09,740.82,28.07,768.8900000000001,Amazon Pay
bike,2024-06-30,00:38:35.542646,completed,Anekal Landing,Srirampura Esplanade,115,RD3822808658086783,12.07,708.14,44.5,752.64,GPay
bike,2024-07-26,23:36:26.542646,completed,Dodda Banaswadi Mews,Chikka Banaswadi 6th Stage,51,RD6039948836070685,1.92,611.42,24.19,635.61,Paytm
auto,2024-06-21,04:15:28.542646,completed,Doddaballapur Place,Sanjay Nagar Depot,43,RD6747610061454649,5.93,475.93,14.45,490.38,Paytm
bike,2024-06-21,23:22:09.542646,completed,Rachenahalli Park,Bommanahalli Works,60,RD6604285364799195,11.96,726.12,11.37,737.49,Amazon Pay
bike,2024-08-16,18:21:03.542646,completed,Hosur Sarjapur Road Layout Place,Jakkasandra Run,20,RD7897341429308841,43.53,70.97,48.15,119.12,GPay
bike lite,2024-06-17,23:29:00.542646,completed,Banashankari Harbor,Shivaji Nagar Station,55,RD8953828714822704,13.1,225.49,4.68,230.17000000000002,Amazon Pay
auto,2024-06-21,16:36:00.542646,completed,Kadubeesanahalli Commons,Ulsoor District,18,RD7708304567842163,31.67,684.15,19.18,703.3299999999999,Amazon Pay
bike,2024-07-04,07:55:34.542646,completed,Kalyan Nagar Pointe,Nayandahalli Boulevard,21,RD6473338791702702,19.3,287.47,30.82,318.29,GPay
auto,2024-07-28,05:18:58.542646,completed,Basaveshwaranagar Pier,Madiwala Harbor,37,RD5731182308846565,31.36,513.31,11.66,524.9699999999999,GPay
bike,2024-07-29,03:15:49.542646,completed,Naganathapura 1st Block,Kaggalipura Circle,115,RD8742120338050819,45.56,64.05,43.41,107.46,Paytm
parcel,2024-06-29,12:21:33.542646,completed,Thanisandra Heights,Anekal Cove,12,RD7689809289833095,11.78,812.5,35.62,848.12,Amazon Pay
cab economy,2024-07-09,22:09:34.542646,completed,Nagarbhavi Station,Mahadevapura 4th Stage,86,RD2611926970493999,9.3,467.52,3.14,470.65999999999997,Paytm
parcel,2024-08-08,23:03:42.542646,completed,Kadugodi Hills,Rachenahalli 5th Stage,46,RD1947303693704861,29.43,508.45,22.24,530.6899999999999,Paytm
auto,2024-07-17,12:44:16.542646,completed,Nagwara Cove,Chikkajala Quarry,100,RD5130685942665307,20.88,74.28,44.69,118.97,Paytm
auto,2024-06-24,17:40:08.542646,completed,Horamavu Square,Anjanapura Viewpoint,47,RD1215007444107331,8.43,228.22,48.06,276.28,QR scan
bike,2024-06-20,20:30:09.542646,completed,Kanaka Nagar Arc,Sarjapur Cross,15,RD7203293909847425,21.6,315.6,42.39,357.99,Paytm
bike,2024-06-19,11:21:19.542646,completed,RMV 2nd Stage Landing,Jalahalli Boulevard,118,RD9943873741408455,26.53,688.92,16.95,705.87,QR scan
bike,2024-06-20,04:54:57.542646,completed,Kothanur Drive,Rajarajeshwari Nagar Pointe,85,RD6134652415591987,6.93,588.81,10.77,599.5799999999999,Amazon Pay
bike,2024-07-17,01:04:02.542646,completed,HSR Layout Works,Lingarajapuram Square,109,RD8635944050857335,3.77,366.99,17.58,384.57,GPay
bike,2024-08-04,00:58:25.542646,cancelled,RMV 2nd Stage 3rd Block,Banerghatta Road Village,21,RD3380849942480231,34.97,,,,nan
bike lite,2024-07-12,06:24:03.542646,completed,Srirampura Run,KR Puram Complex,16,RD0435446308407909,42.19,387.43,48.62,436.05,QR scan
cab economy,2024-06-29,10:10:34.542646,cancelled,Madivala Square,Byatarayanapura Landing,76,RD6251184946210781,4.62,,,,nan
bike,2024-08-15,10:28:22.542646,completed,Yelahanka New Town Works,Mahadevapura Quarry,47,RD1806032245118073,4.05,978.8,17.83,996.63,QR scan
auto,2024-07-26,07:54:00.542646,completed,Vijayanagar Boulevard,Kodigehalli Crescent,83,RD1022118407665224,49.44,765.39,28.02,793.41,Amazon Pay
cab economy,2024-07-27,21:44:36.542646,completed,Kodigehalli Park,Dooravani Nagar Garden,69,RD1581370576696450,47.73,256.86,25.15,282.01,GPay
bike,2024-08-10,02:51:57.542646,completed,Ramamurthy Nagar Bay,Kumaraswamy Layout Square,76,RD8450674279635236,31.12,428.74,17.3,446.04,Paytm
cab economy,2024-07-09,21:28:19.542646,completed,Madivala Circle,Srirampura Village,62,RD6309443111140680,34.04,94.02,33.83,127.85,Amazon Pay
bike,2024-06-17,13:54:48.542646,cancelled,Benson Town Arcade,Doddaballapur Station,46,RD7251101541817511,21.47,,,,nan
cab economy,2024-07-08,00:54:46.542646,cancelled,Yeshwanthpur Passage,Kothanur Square,72,RD7528615406219812,32.07,,,,nan
parcel,2024-07-07,03:37:58.542646,completed,Basavanagudi Esplanade,Doddanekundi Village,116,RD2306698615891929,43.2,294.61,30.79,325.40000000000003,GPay
bike lite,2024-06-26,21:25:58.542646,completed,Attibele Cove,Chikkagubbi Side,80,RD2406982706817982,35.47,249.72,28.31,278.03,GPay
auto,2024-07-08,16:44:12.542646,completed,Nagawara Way,Anekal 5th Block,47,RD1063446832837928,27.05,96.32,17.15,113.47,Paytm
bike,2024-07-15,05:39:10.542646,completed,Anekal Garden,Babusapalya Pass,57,RD8906309739869979,42.29,784.6,46.95,831.5500000000001,QR scan
auto,2024-07-19,09:22:47.542646,completed,Chikkajala Promenade,Sahakar Nagar Quay,67,RD0661996021871137,14.4,895.08,49.5,944.58,GPay
bike,2024-08-11,20:37:40.542646,cancelled,Giri Nagar 5th Stage,HRBR Layout Pier,65,RD7481351134212520,24.24,,,,nan
bike,2024-06-26,04:55:52.542646,completed,Indiranagar Heights,Anjanapura Quarry,23,RD5440556690792913,9.52,617.49,30.74,648.23,Paytm
cab economy,2024-06-27,22:12:03.542646,cancelled,Srirampura Farms,Doddakannelli Quarters,47,RD0833847880076187,40.77,,,,nan
bike,2024-08-15,12:41:16.542646,completed,Koramangala 7th Block Cove,BTM Layout Terrace,28,RD3396547257701584,31.3,497.55,36.56,534.11,Amazon Pay
auto,2024-06-24,21:35:16.542646,completed,ITI Layout Quarters,Rajajinagar Commons,42,RD5684967706313472,49.84,544.4,17.8,562.1999999999999,Amazon Pay
bike,2024-07-08,11:10:40.542646,completed,Hennur Road Landing,Adugodi 5th Block,73,RD4194820692246454,40.74,648.78,15.37,664.15,GPay
auto,2024-07-17,18:27:47.542646,completed,Jayanagar 4th Block,Kothaguda 2nd Block,91,RD7816597851940003,22.51,493.68,11.15,504.83,Paytm
bike,2024-06-24,04:16:50.542646,completed,BTM Layout Passage,Mahadevapura Landing,91,RD8328883434181736,41.22,889.61,28.73,918.34,Amazon Pay
auto,2024-07-10,04:09:15.542646,completed,Tavarekere Park,Banaswadi Vista,61,RD7450063577959044,36.1,749.29,37.42,786.7099999999999,Amazon Pay
parcel,2024-08-12,13:37:27.542646,completed,Avalahalli Sector,Mysore Road Loop,105,RD8841623057419279,36.94,971.08,19.27,990.35,Amazon Pay
bike,2024-07-03,23:48:47.542646,completed,Adugodi Bay,Rachenahalli 5th Stage,20,RD8531318458991953,17.6,113.62,20.72,134.34,GPay
cab economy,2024-07-10,22:36:14.542646,completed,Kothaguda Complex,HSR Layout Complex,95,RD9929093775154764,8.31,810.85,15.09,825.94,Paytm
cab economy,2024-08-15,04:48:00.542646,completed,Ashok Nagar Bridge,Hosur Road Landing,110,RD8000612415784099,2.82,985.22,40.4,1025.6200000000001,Paytm
cab economy,2024-06-21,18:09:21.542646,completed,Jakkasandra Yard,ITI Layout Promenade,97,RD7538921359056183,15.94,891.99,25.11,917.1,Paytm
bike,2024-07-01,08:53:29.542646,completed,Basavanagudi Bridge,Magadi Road Drive,116,RD1099945174805933,25.66,553.2,40.94,594.1400000000001,GPay
parcel,2024-06-27,11:41:13.542646,completed,Arekere Fork,Bikasipura Drive,37,RD0322184638690144,49.06,228.76,34.81,263.57,Amazon Pay
cab economy,2024-08-02,16:15:54.542646,completed,Bellandur Woods,Hennur Arc,83,RD9124159884865557,1.22,400.79,17.53,418.32000000000005,QR scan
auto,2024-07-16,11:34:35.542646,completed,Kothanur 2nd Block,Ulsoor Valley,78,RD8876779861287509,32.13,591.79,14.33,606.12,QR scan
auto,2024-07-19,17:00:31.542646,cancelled,Anekal Vista,Kumaraswamy Layout Cutting,78,RD3200621968128393,4.1,,,,nan
bike,2024-07-09,22:38:41.542646,cancelled,Sanjay Nagar Colony,Hulimavu Court,19,RD3298911371382578,21.75,,,,nan
auto,2024-07-09,19:07:13.542646,completed,Naganathapura 5th Block,Madiwala Zone,101,RD9198038078566151,39.3,791.64,35.17,826.81,QR scan
bike lite,2024-07-04,13:29:57.542646,completed,Avalahalli 1st Stage,Whitefield Cove,114,RD0825756492630499,34.78,982.46,31.5,1013.96,QR scan
parcel,2024-07-21,05:38:40.542646,completed,Nagwara Farms,Doddakannelli Place,17,RD8082104368435073,29.25,978.55,27.65,1006.1999999999999,GPay
cab economy,2024-07-09,16:37:33.542646,completed,Kumaraswamy Layout Enclave,Nayandahalli Dam,113,RD4995727880339172,9.81,896.52,41.97,938.49,Amazon Pay
parcel,2024-08-12,04:38:47.542646,completed,Avalahalli Quay,Chikkabellandur Commons,13,RD9587343329232105,3.96,271.08,21.19,292.27,QR scan
auto,2024-07-06,23:40:19.542646,completed,Mahadevapura Colony,RMV 2nd Stage Township,118,RD0196218220127974,40.17,516.7,34.82,551.5200000000001,GPay
auto,2024-06-20,23:04:57.542646,completed,Koramangala Pass,Rajajinagar Plaza,11,RD4370142322524324,4.8,792.59,25.26,817.85,GPay
cab economy,2024-08-16,19:41:18.542646,completed,Hebbal Cove,HRBR Layout Township,87,RD6122391100446857,43.14,590.78,25.99,616.77,Amazon Pay
parcel,2024-06-17,13:18:41.542646,completed,Tavarekere 1st Block,Electronic City Promenade,32,RD9453082414861530,41.05,55.86,7.88,63.74,Amazon Pay
auto,2024-08-08,07:28:30.542646,completed,Jayanagar Park,KR Puram Vista,93,RD2238329909604667,28.12,616.02,30.98,647.0,Amazon Pay
cab economy,2024-08-13,08:06:17.542646,completed,Madivala Viewpoint,BTM Layout Pier,68,RD8197897547558903,4.26,915.16,2.36,917.52,QR scan
auto,2024-06-19,01:52:27.542646,completed,ITI Layout Extension,Ramamurthy Nagar 4th Stage,100,RD7991971558296182,24.52,648.91,11.48,660.39,QR scan
bike,2024-08-07,05:24:49.542646,completed,Banashankari Landing,Anjanapura Sector,115,RD2060994594912255,40.59,495.54,39.71,535.25,GPay
bike lite,2024-08-07,03:02:03.542646,completed,Vidyaranyapura Pointe,Chikkajala Cross,108,RD2113530102067044,38.26,330.12,20.71,350.83,QR scan
auto,2024-07-20,14:35:15.542646,completed,Doddaballapur Works,Balagere Grove,106,RD7452361731925978,2.0,801.81,23.83,825.64,GPay
bike,2024-06-26,13:05:15.542646,completed,Madiwala Side,Rajajinagar Farms,112,RD3631715730301864,18.11,447.52,10.69,458.21,Paytm
auto,2024-08-02,10:37:56.542646,completed,Bikasipura Cut,Horamavu Lane,23,RD7185030106312139,5.47,766.77,24.29,791.06,QR scan
cab economy,2024-08-02,08:50:07.542646,completed,Kudlu 2nd Block,Byatarayanapura Fork,84,RD3799852520260606,23.25,508.58,7.92,516.5,Paytm
bike,2024-07-07,13:58:00.542646,completed,Gottigere Quarters,Kalena Agrahara View,61,RD8766072152996157,44.1,167.33,10.72,178.05,Paytm
bike,2024-08-08,06:05:07.542646,completed,Doddakannelli Township,Nagarbhavi Meadows,69,RD4811820731711201,39.58,97.72,17.82,115.53999999999999,QR scan
cab economy,2024-08-08,05:04:37.542646,completed,Nagarbhavi Court,Kodigehalli Valley,39,RD6036340900532080,18.8,225.42,33.67,259.09,Paytm
cab economy,2024-07-31,04:07:25.542646,completed,Arekere 3rd Stage,Vidyaranyapura Track,97,RD6835064895109550,7.41,605.22,6.23,611.45,QR scan
cab economy,2024-08-04,14:07:26.542646,completed,Chikkajala Way,Mahadevapura Pass,101,RD7538653646680457,24.53,229.71,2.98,232.69,Amazon Pay
auto,2024-06-17,09:03:30.542646,completed,Pai Layout 4th Block,Kanakapura Hills,72,RD0676588653995072,45.48,961.53,18.5,980.03,Paytm
auto,2024-08-04,16:32:51.542646,completed,Rajarajeshwari Nagar 5th Block,Banashankari Crescent,23,RD0647897326735361,4.0,468.33,4.44,472.77,QR scan
cab economy,2024-08-14,10:08:41.542646,completed,Nagasandra Square,Hebbal Meadows,20,RD7444230198460381,13.05,323.85,20.43,344.28000000000003,QR scan
parcel,2024-06-25,21:42:08.542646,completed,Kalyan Nagar Nagar,Doddakannelli Alley,80,RD2234041787198763,39.73,418.63,32.15,450.78,Amazon Pay
bike lite,2024-08-08,08:00:59.542646,completed,Ramamurthy Nagar Lane,Chikkabellandur View,51,RD0087131202572477,23.94,353.02,29.72,382.74,Paytm
cab economy,2024-07-19,00:21:52.542646,cancelled,Subbanna Palya Garden,Doddanekundi Valley,16,RD0999620804210363,12.38,,,,nan
parcel,2024-07-28,08:30:23.542646,completed,ITI Layout Passage,Hennur Nagar,99,RD5125115624070536,10.03,857.43,22.12,879.55,Paytm
auto,2024-07-28,19:00:50.542646,cancelled,Srirampura 2nd Block,HSR Layout 5th Block,39,RD2124185447891144,26.86,,,,nan
auto,2024-07-03,12:17:15.542646,completed,HSR Layout Garden,Kundalahalli Works,51,RD8407691433770221,16.7,252.7,19.83,272.53,Paytm
bike,2024-08-08,17:54:03.542646,completed,Agrahara Layout Extension,Bommanahalli Garden,106,RD0342890508626345,39.89,461.06,4.4,465.46,QR scan
parcel,2024-08-01,04:59:04.542646,completed,Chikkalasandra 4th Block,Doddakannelli 2nd Block,52,RD6599545630144691,15.52,166.99,9.1,176.09,Paytm
auto,2024-08-12,15:06:59.542646,completed,Kadugodi Plaza,Jalahalli Run,75,RD0657251815241681,21.65,678.76,44.83,723.59,GPay
parcel,2024-07-03,23:23:02.542646,completed,Ganganagar Colony,Kanakapura Township,34,RD2642530389311250,6.73,155.63,31.95,187.57999999999998,QR scan
bike,2024-07-20,22:43:04.542646,completed,Billekahalli Station,Vidyaranyapura Track,81,RD6879448042169096,25.25,998.01,23.52,1021.53,GPay
parcel,2024-06-22,17:03:45.542646,completed,Dommasandra Place,Kasavanahalli Cove,99,RD7564541425248758,33.41,160.8,19.18,179.98000000000002,QR scan
bike,2024-06-29,20:14:40.542646,completed,Bhadrappa Layout Village,Hulimavu Meadows,41,RD6945361519810087,31.5,655.54,19.08,674.62,QR scan
auto,2024-08-03,16:24:58.542646,completed,Basaveshwaranagar Zone,Attibele Alcove,75,RD6738172443504355,39.99,307.28,45.39,352.66999999999996,Paytm
bike,2024-07-20,20:44:06.542646,completed,Kothaguda 1st Block,Bommanahalli 3rd Stage,44,RD9989130009931360,6.38,677.17,31.69,708.86,Amazon Pay
auto,2024-08-03,13:28:37.542646,completed,Nagawara 6th Block,Domlur Garden,19,RD6780140286015691,7.71,986.68,16.71,1003.39,QR scan
auto,2024-08-03,15:37:18.542646,completed,Dooravani Nagar Fork,Madiwala 6th Block,85,RD9153450028232881,8.2,509.83,27.02,536.85,Paytm
cab economy,2024-08-13,00:25:06.542646,completed,Chikkagubbi Pass,Banashankari Pointe,79,RD7257307946078527,20.51,687.43,36.2,723.63,Amazon Pay
cab economy,2024-06-27,08:51:49.542646,completed,BTM Layout Crescent,Bhuvaneshwari Nagar Yard,99,RD4730093141536366,28.38,581.27,17.61,598.88,QR scan
bike,2024-06-26,02:50:32.542646,completed,Attibele Way,Tavarekere Bridge,59,RD0753215620615800,18.1,100.53,19.05,119.58,Amazon Pay
auto,2024-07-26,01:49:24.542646,completed,Amruthahalli Park,RT Nagar Area,102,RD8614462133834901,31.55,366.99,21.06,388.05,Paytm
cab economy,2024-07-26,09:42:23.542646,completed,Nagwara 2nd Stage,Nandini Layout Pass,38,RD7917677715019326,38.14,230.55,2.33,232.88000000000002,GPay
auto,2024-08-16,16:06:27.542646,cancelled,Horamavu Meadows,Doddakannelli Heights,114,RD2350523900589184,16.31,,,,nan
parcel,2024-07-17,13:50:30.542646,completed,Horamavu Cove,Nandini Layout Lane,82,RD5590527143323864,40.71,777.58,25.98,803.5600000000001,GPay
parcel,2024-08-08,08:18:37.542646,completed,Whitefield Village,Hennur Square,51,RD1979895748800973,14.27,804.81,40.66,845.4699999999999,Amazon Pay
parcel,2024-07-15,13:36:00.542646,completed,HSR Layout Dam,Domlur Commons,50,RD3266254485089305,15.38,714.35,47.59,761.94,Paytm
bike,2024-07-22,19:54:53.542646,completed,Rajarajeshwari Nagar Close,Chikkalasandra View,76,RD7127683974262860,33.82,170.13,5.58,175.71,Amazon Pay
bike lite,2024-06-21,17:22:11.542646,cancelled,Doddanekundi Grove,Sahakar Nagar Valley,72,RD6947550451018868,19.53,,,,nan
auto,2024-06-23,06:53:18.542646,completed,Munnekollal Close,Hosur Sarjapur Road Layout Viewpoint,48,RD0570304215800388,28.63,994.38,33.16,1027.54,GPay
bike,2024-06-25,21:47:59.542646,completed,Balagere Arc,Hebbal Cutting,15,RD9780307992364308,45.84,703.7,44.75,748.45,Paytm
cab economy,2024-07-04,16:02:14.542646,completed,Hosur Village,Kaval Byrasandra 5th Stage,15,RD6416274975829550,6.8,805.11,37.72,842.83,Amazon Pay
bike,2024-07-09,21:14:53.542646,cancelled,Ulsoor Court,Malleshwaram Arcade,21,RD9290976614019823,19.91,,,,nan
bike,2024-07-29,13:07:59.542646,completed,Subbanna Palya 1st Block,Pai Layout Road,80,RD2984558095911500,9.59,980.75,36.33,1017.08,GPay
bike,2024-07-16,10:47:12.542646,completed,Benniganahalli 3rd Stage,Bellandur Outer Ring Road Bay,77,RD0703372253522834,36.43,572.73,30.48,603.21,Paytm
auto,2024-08-01,20:32:38.542646,completed,Hosur Fields,MG Road Nagar,44,RD6509972678420429,18.36,190.89,27.48,218.36999999999998,GPay
bike,2024-08-10,20:43:39.542646,completed,Koramangala Colony,Madivala Depot,53,RD4141940311331944,14.25,356.71,41.1,397.81,Paytm
bike lite,2024-07-03,19:52:57.542646,completed,Rajarajeshwari Nagar Ridge,Dr. Shivaram Karanth Nagar Mews,88,RD6637191193153117,21.02,912.19,38.55,950.74,QR scan
parcel,2024-07-02,20:35:24.542646,completed,Kengeri Trail,Vidyaranyapura Layout,99,RD4956738533627498,24.08,345.32,7.68,353.0,Amazon Pay
auto,2024-07-14,01:47:39.542646,completed,Bommanahalli 3rd Stage,Koramangala 4th Block Arcade,118,RD6545086814164281,15.27,872.68,25.46,898.14,QR scan
bike,2024-07-21,14:33:02.542646,completed,RT Nagar Township,Nagawara Commons,111,RD3817880976303420,29.71,262.92,7.15,270.07,QR scan
