customer_id,customer_name,customer_rating,total_completed_rides,total_cancelled_rides,avg_monthly_spend,preferred_vehicle
C0130,Customer_130,4.04,223,96,2083,Auto
C0131,Customer_131,4.27,226,9,2323,Auto
C0132,Customer_132,4.47,2,0,492,Auto
C0133,Customer_133,4.27,23,4,973,Auto
C0134,Customer_134,4.04,142,19,1997,Cab
C0135,Customer_135,4.13,214,57,2351,Auto
C0136,Customer_136,4.19,111,14,1590,Auto
C0137,Customer_137,3.92,41,12,431,Bike
C0138,Customer_138,4.44,197,10,2277,Cab
C0139,Customer_139,4.14,222,47,2374,Bike
C0140,Customer_140,3.9,62,19,1095,Auto
C0141,Customer_141,4.29,110,31,1510,Bike
C0142,Customer_142,4.38,134,7,1299,Cab
C0143,Customer_143,4.16,71,26,1203,Auto
C0144,Customer_144,4.0,229,28,2413,Bike
C0145,Customer_145,3.98,137,46,1218,Bike
C0146,Customer_146,4.66,239,18,2585,Bike
C0147,Customer_147,3.71,177,25,2211,Auto
C0148,Customer_148,4.05,237,14,2863,Bike
C0149,Customer_149,4.33,205,37,2395,Auto
C0150,Customer_150,4.35,218,55,2790,Cab
C0151,Customer_151,4.1,51,5,1113,Bike
C0152,Customer_152,4.07,148,31,1702,Cab
C0153,Customer_153,3.98,103,13,1838,Auto
C0154,Customer_154,4.08,52,15,1531,Auto
C0155,Customer_155,4.12,124,8,1897,Cab
C0156,Customer_156,4.39,67,9,1169,Cab
C0157,Customer_157,4.22,285,2,2427,Auto
C0158,Customer_158,4.16,292,11,2591,Auto
C0159,Customer_159,4.27,186,15,2197,Auto
C0160,Customer_160,4.25,79,3,819,Cab
C0161,Customer_161,4.11,232,30,2681,Bike
C0162,Customer_162,3.63,194,105,1755,Auto
C0163,Customer_163,3.92,157,21,2540,Bike
C0164,Customer_164,3.31,54,13,618,Bike
C0165,Customer_165,4.38,139,6,1946,Bike
C0166,Customer_166,4.3,186,39,1923,Cab
C0167,Customer_167,4.33,99,16,1577,Bike
C0168,Customer_168,4.46,150,28,1820,Cab
C0169,Customer_169,3.98,241,20,2618,Auto
C0170,Customer_170,4.09,279,20,3131,Auto
C0171,Customer_171,4.42,259,23,2867,Auto
C0172,Customer_172,3.84,65,24,1127,Bike
C0173,Customer_173,3.59,280,33,3078,Bike
C0174,Customer_174,4.42,204,30,2282,Bike
C0175,Customer_175,4.09,131,1,1300,Auto
C0176,Customer_176,4.31,232,64,2380,Cab
C0177,Customer_177,4.31,219,67,2149,Bike
C0178,Customer_178,3.69,182,35,2413,Bike
C0179,Customer_179,4.29,188,21,1627,Bike
C0180,Customer_180,4.16,201,56,2331,Cab
C0181,Customer_181,4.26,75,16,1331,Auto
C0182,Customer_182,4.53,26,1,775,Bike
C0183,Customer_183,4.41,94,3,1239,Cab
C0184,Customer_184,3.69,280,27,3098,Bike
C0185,Customer_185,3.81,155,5,2088,Cab
C0186,Customer_186,4.33,87,2,1383,Cab
C0187,Customer_187,3.88,132,14,1756,Auto
C0188,Customer_188,3.66,212,17,2854,Bike
C0189,Customer_189,4.12,116,16,1380,Bike
C0190,Customer_190,4.31,155,26,1714,Auto
C0191,Customer_191,4.33,196,71,2459,Auto
C0192,Customer_192,4.27,259,24,2398,Auto
C0193,Customer_193,3.87,242,51,2045,Auto
C0194,Customer_194,4.41,70,20,960,Bike
C0195,Customer_195,4.53,220,64,2268,Auto
C0196,Customer_196,4.65,178,17,1989,Cab
C0197,Customer_197,3.82,231,68,2585,Cab
C0198,Customer_198,3.61,190,35,2152,Bike
C0199,Customer_199,4.67,113,18,1638,Auto
C0200,Customer_200,4.47,188,20,1692,Bike
C0201,Customer_201,4.11,117,10,1204,Cab
C0202,Customer_202,4.06,83,5,1661,Bike
C0203,Customer_203,4.19,70,12,1180,Auto
C0204,Customer_204,3.81,141,53,2121,Auto
C0205,Customer_205,4.13,9,0,995,Bike
C0206,Customer_206,4.31,260,24,2974,Cab
C0207,Customer_207,4.52,296,10,3039,Bike
C0208,Customer_208,4.13,34,17,990,Bike
C0209,Customer_209,3.98,224,25,2623,Cab
C0210,Customer_210,3.86,19,2,469,Bike
C0211,Customer_211,4.05,103,23,1526,Auto
C0212,Customer_212,3.61,289,9,3015,Bike
C0213,Customer_213,3.44,269,50,3034,Bike
C0214,Customer_214,3.97,156,20,1961,Auto
C0215,Customer_215,4.47,196,39,2547,Bike
C0216,Customer_216,4.16,122,10,1460,Bike
C0217,Customer_217,5.0,181,26,1514,Auto
C0218,Customer_218,4.59,83,5,1321,Cab
C0219,Customer_219,3.84,75,19,1243,Bike
C0220,Customer_220,4.1,254,64,2570,Cab
C0221,Customer_221,4.25,15,0,1070,Auto
C0222,Customer_222,4.14,246,12,2497,Bike
C0223,Customer_223,3.95,102,2,1385,Auto
C0224,Customer_224,4.18,238,61,2294,Auto
C0225,Customer_225,4.47,183,26,2173,Cab
C0226,Customer_226,4.55,294,38,2760,Bike
C0227,Customer_227,3.72,245,29,2145,Cab
C0228,Customer_228,4.9,259,32,2150,Bike
C0229,Customer_229,4.73,103,17,1287,Auto
C0230,Customer_230,4.27,287,83,2862,Cab
C0231,Customer_231,4.55,52,3,596,Bike
C0232,Customer_232,3.86,271,108,2789,Auto
C0233,Customer_233,4.42,123,22,1173,Bike
C0234,Customer_234,4.39,264,18,2318,Auto
C0235,Customer_235,3.99,194,17,1966,Bike
C0236,Customer_236,4.92,257,17,2346,Bike
C0237,Customer_237,4.18,99,8,1026,Bike
C0238,Customer_238,3.85,208,13,2775,Auto
C0239,Customer_239,4.5,216,10,2356,Auto
C0240,Customer_240,3.79,278,10,2914,Bike
C0241,Customer_241,4.09,44,6,853,Bike
C0242,Customer_242,4.14,30,2,717,Cab
C0243,Customer_243,3.57,47,8,383,Bike
C0244,Customer_244,4.46,70,10,1305,Auto
C0245,Customer_245,4.35,217,38,2594,Cab
C0246,Customer_246,3.92,258,12,2788,Auto
C0247,Customer_247,4.03,53,5,1027,Bike
C0248,Customer_248,3.92,152,8,1700,Bike
C0249,Customer_249,3.98,35,4,829,Cab
C0250,Customer_250,4.6,54,7,1339,Cab
C0251,Customer_251,4.46,39,4,743,Cab
C0252,Customer_252,4.78,5,0,1067,Bike
C0253,Customer_253,4.15,220,67,2040,Cab
C0254,Customer_254,3.94,15,0,100,Bike
C0255,Customer_255,4.1,259,8,2993,Cab
C0256,Customer_256,4.21,68,10,1003,Cab
C0257,Customer_257,3.08,71,31,983,Auto
C0258,Customer_258,3.61,291,37,3266,Auto
C0259,Customer_259,3.73,164,10,1790,Cab
C0260,Customer_260,3.79,95,18,1156,Auto
C0261,Customer_261,3.56,144,36,1526,Bike
C0262,Customer_262,3.71,278,16,2627,Auto
C0263,Customer_263,4.15,96,24,1175,Bike
C0264,Customer_264,4.19,253,22,2494,Auto
C0265,Customer_265,4.47,163,10,1336,Bike
C0266,Customer_266,4.06,157,51,1780,Auto
C0267,Customer_267,4.27,45,8,1123,Bike
C0268,Customer_268,4.1,8,2,504,Cab
C0269,Customer_269,4.58,221,14,2339,Auto
C0270,Customer_270,4.22,14,5,708,Cab
C0271,Customer_271,4.21,295,30,2723,Bike
C0272,Customer_272,3.37,81,14,1309,Auto
C0273,Customer_273,4.44,273,25,2645,Bike
C0274,Customer_274,4.84,293,12,2714,Auto
C0275,Customer_275,4.37,32,6,488,Bike
C0276,Customer_276,3.77,256,161,2104,Cab
C0277,Customer_277,4.18,125,3,1548,Auto
C0278,Customer_278,3.77,214,27,1718,Bike
C0279,Customer_279,3.58,247,19,2301,Bike
C0280,Customer_280,4.4,11,2,659,Auto
C0281,Customer_281,4.42,280,41,2868,Cab
C0282,Customer_282,3.91,95,20,1591,Cab
C0283,Customer_283,4.14,222,86,2524,Auto
C0284,Customer_284,4.2,240,37,2584,Auto
C0285,Customer_285,4.25,227,28,3077,Auto
C0286,Customer_286,4.05,99,16,1489,Cab
C0287,Customer_287,4.15,51,7,908,Bike
C0288,Customer_288,4.42,44,9,842,Auto
C0289,Customer_289,4.26,89,25,1411,Auto
C0290,Customer_290,4.5,79,18,1422,Cab
C0291,Customer_291,4.13,276,23,2443,Cab
C0292,Customer_292,4.09,28,3,1460,Auto
C0293,Customer_293,4.11,134,7,2275,Auto
C0294,Customer_294,4.14,30,8,283,Bike
C0295,Customer_295,4.22,93,11,1525,Cab
C0296,Customer_296,4.09,188,16,2341,Cab
C0297,Customer_297,4.0,240,91,2325,Cab
C0298,Customer_298,3.86,138,18,1774,Auto
C0299,Customer_299,3.62,213,87,2778,Bike
C0300,Customer_300,4.16,66,3,1496,Cab
C0301,Customer_301,3.86,176,49,1991,Cab
C0302,Customer_302,4.57,183,7,1709,Auto
C0303,Customer_303,4.0,168,89,1885,Auto
C0304,Customer_304,3.98,130,29,1764,Bike
C0305,Customer_305,4.49,9,5,508,Auto
C0306,Customer_306,4.26,122,26,1684,Cab
C0307,Customer_307,4.49,250,53,2472,Cab
C0308,Customer_308,3.99,112,32,1348,Cab
C0309,Customer_309,4.21,221,22,2755,Bike
C0310,Customer_310,4.32,71,11,1277,Bike
C0311,Customer_311,4.34,248,106,2587,Auto
C0312,Customer_312,4.49,126,15,1337,Bike
C0313,Customer_313,4.45,132,15,1970,Bike
C0314,Customer_314,4.17,46,27,677,Bike
C0315,Customer_315,4.07,120,33,1619,Cab
C0316,Customer_316,4.76,58,1,1534,Cab
C0317,Customer_317,4.08,150,18,1535,Cab
C0318,Customer_318,4.15,126,6,876,Bike
C0319,Customer_319,3.72,18,2,588,Auto
C0320,Customer_320,4.23,208,13,1675,Bike
C0321,Customer_321,4.07,3,1,430,Auto
C0322,Customer_322,3.97,62,5,601,Bike
C0323,Customer_323,3.78,253,2,2191,Cab
C0324,Customer_324,3.34,159,57,1313,Auto
C0325,Customer_325,4.07,80,5,1234,Bike
C0326,Customer_326,4.19,111,4,1200,Bike
C0327,Customer_327,4.28,277,11,2987,Auto
C0328,Customer_328,4.06,183,20,2294,Cab
C0329,Customer_329,4.23,215,24,2618,Auto
C0330,Customer_330,4.23,84,2,915,Auto
C0331,Customer_331,4.1,298,21,2854,Cab
C0332,Customer_332,4.21,66,12,1356,Bike
C0333,Customer_333,4.21,12,1,728,Auto
C0334,Customer_334,4.32,287,82,2685,Bike
C0335,Customer_335,3.93,281,75,3217,Bike
C0336,Customer_336,4.46,89,12,1768,Auto
C0337,Customer_337,4.48,203,13,2261,Auto
C0338,Customer_338,4.14,181,19,2582,Bike
C0339,Customer_339,4.22,43,3,832,Bike
C0340,Customer_340,4.28,278,19,2771,Bike
C0341,Customer_341,4.4,245,12,2682,Auto
C0342,Customer_342,4.71,90,22,799,Auto
C0343,Customer_343,4.01,17,4,106,Bike
C0344,Customer_344,4.48,106,30,1952,Cab
C0345,Customer_345,4.79,270,65,2951,Auto
C0346,Customer_346,3.9,172,22,2355,Cab
C0347,Customer_347,4.42,114,25,1536,Cab
C0348,Customer_348,4.28,61,12,1301,Cab
C0349,Customer_349,3.81,22,11,1199,Auto
C0350,Customer_350,4.09,136,25,1936,Auto
C0351,Customer_351,3.9,118,29,1541,Auto
C0352,Customer_352,4.69,141,11,1791,Auto
C0353,Customer_353,4.05,200,75,1904,Auto
C0354,Customer_354,4.15,87,8,1495,Auto
C0355,Customer_355,4.12,202,30,2708,Bike
C0356,Customer_356,4.18,160,33,2265,Bike
C0357,Customer_357,4.35,101,10,1105,Auto
C0358,Customer_358,4.09,151,16,1726,Bike
C0359,Customer_359,4.04,212,48,2405,Cab
C0360,Customer_360,4.1,91,14,1626,Cab
C0361,Customer_361,3.6,54,8,648,Bike
C0362,Customer_362,4.37,63,5,1147,Auto
C0363,Customer_363,4.21,225,40,2347,Cab
C0364,Customer_364,4.51,275,1,2777,Auto
C0365,Customer_365,3.86,197,24,2228,Auto
C0366,Customer_366,4.0,195,5,2109,Cab
C0367,Customer_367,3.75,213,79,2233,Cab
C0368,Customer_368,3.56,24,6,1097,Cab
C0369,Customer_369,4.12,239,16,2026,Bike
C0370,Customer_370,4.35,56,12,1309,Cab
C0371,Customer_371,3.67,292,27,3461,Auto
C0372,Customer_372,4.1,294,53,2823,Auto
C0373,Customer_373,4.0,184,20,2222,Bike
C0374,Customer_374,3.99,15,2,585,Bike
C0375,Customer_375,4.08,161,7,2056,Auto
C0376,Customer_376,4.4,227,45,2121,Cab
C0377,Customer_377,3.87,68,23,953,Bike
C0378,Customer_378,3.78,12,1,929,Bike
C0379,Customer_379,4.28,141,3,1693,Cab
C0380,Customer_380,4.41,165,37,2211,Auto
C0381,Customer_381,4.23,169,18,1901,Cab
C0382,Customer_382,3.95,127,28,1429,Auto
C0383,Customer_383,3.98,37,3,1368,Bike
C0384,Customer_384,4.34,137,24,1460,Auto
C0385,Customer_385,4.45,104,3,878,Bike
C0386,Customer_386,3.86,209,9,2110,Bike
C0387,Customer_387,4.19,199,25,2283,Cab
C0388,Customer_388,4.3,86,13,1259,Bike
C0389,Customer_389,4.23,204,20,1973,Bike
C0390,Customer_390,4.12,274,16,2804,Cab
C0391,Customer_391,4.26,280,13,2169,Bike
C0392,Customer_392,4.37,152,40,1599,Bike
C0393,Customer_393,4.33,63,4,698,Auto
C0394,Customer_394,4.03,183,9,1242,Cab
C0395,Customer_395,4.25,22,1,687,Cab
C0396,Customer_396,4.54,27,3,465,Bike
C0397,Customer_397,4.31,131,23,1682,Bike
C0398,Customer_398,3.78,71,30,1176,Bike
C0399,Customer_399,4.22,46,3,958,Cab
C0400,Customer_400,3.97,295,49,3649,Cab
