pickup_location,drop_location,demand_index,avg_eta_min,zone_type
Secunderabad,Kukatpally,71,11,Residential
Secunderabad,Ameerpet,63,5,Transit
Ameerpet,Gachibowli,91,9,Tourist
Ameerpet,Madhapur,57,6,Commercial
Ameerpet,Banjara Hills,70,10,Tourist
Ameerpet,Kukatpally,67,11,Tourist
Ameerpet,Secunderabad,47,10,Commercial
Hinjewadi,Kothrud,45,4,Transit
Hinjewadi,Viman Nagar,67,6,Residential
Hinjewadi,Baner,89,5,Transit
Hinjewadi,Kharadi,93,3,Tourist
Hinjewadi,Wakad,47,8,Commercial
Kothrud,Hinjewadi,42,11,Residential
Kothrud,Viman Nagar,89,11,Residential
Kothrud,Baner,71,11,Residential
Kothrud,Kharadi,50,3,Commercial
Kothrud,Wakad,50,3,Residential
Viman Nagar,Hinjewadi,68,10,Commercial
Viman Nagar,Kothrud,51,7,Commercial
Viman Nagar,Baner,94,7,Commercial
Viman Nagar,Kharadi,85,7,Commercial
Viman Nagar,Wakad,50,11,Tourist
Baner,Hinjewadi,79,3,Commercial
Baner,Kothrud,61,7,Residential
Baner,Viman Nagar,82,11,Residential
Baner,Kharadi,41,7,Commercial
Baner,Wakad,52,5,Tourist
Kharadi,Hinjewadi,55,3,Tourist
Kharadi,Kothrud,64,11,Commercial
Kharadi,Viman Nagar,41,10,Tourist
Kharadi,Baner,72,10,Commercial
Kharadi,Wakad,42,8,Commercial
Wakad,Hinjewadi,84,4,Residential
Wakad,Kothrud,57,3,Commercial
Wakad,Viman Nagar,60,10,Tourist
Wakad,Baner,91,3,Transit
Wakad,Kharadi,57,3,Transit
