driver_id,driver_name,driver_rating,total_completed_rides,total_cancelled_rides,acceptance_rate,avg_delay_min,vehicle_type
D0095,Driver_95,4.35,793,51,0.99,1.1,Auto
D0096,Driver_96,4.68,398,2,0.9,0.0,Cab
D0097,Driver_97,4.56,252,29,1.0,0.0,Bike
D0098,Driver_98,4.05,286,37,0.96,2.5,Bike
D0099,Driver_99,4.5,529,37,0.94,8.6,Cab
D0100,Driver_100,4.42,378,48,0.97,0.0,Bike
D0101,Driver_101,3.76,50,5,0.8,5.1,Auto
D0102,Driver_102,4.68,427,45,0.9,1.1,Cab
D0103,Driver_103,4.47,270,32,0.97,5.4,Bike
D0104,Driver_104,4.26,160,18,0.88,0.0,Bike
D0105,Driver_105,4.68,486,27,1.0,1.9,Bike
D0106,Driver_106,4.77,55,6,0.95,1.6,Cab
D0107,Driver_107,4.16,721,86,0.91,7.5,Bike
D0108,Driver_108,3.97,367,44,0.82,4.6,Bike
D0109,Driver_109,4.55,390,57,0.93,1.5,Bike
D0110,Driver_110,4.51,23,1,0.95,0.1,Bike
D0111,Driver_111,4.29,212,7,0.83,7.7,Bike
D0112,Driver_112,4.16,423,38,0.89,7.3,Auto
D0113,Driver_113,4.73,295,7,0.94,0.0,Bike
D0114,Driver_114,4.45,588,39,0.83,3.5,Cab
D0115,Driver_115,4.87,181,18,0.88,0.8,Cab
D0116,Driver_116,4.2,423,37,0.95,0.1,Cab
D0117,Driver_117,4.39,77,2,0.97,1.4,Bike
D0118,Driver_118,4.32,108,13,0.83,5.1,Auto
D0119,Driver_119,4.4,204,11,1.0,7.0,Bike
D0120,Driver_120,4.52,730,33,0.97,4.4,Bike
D0121,Driver_121,3.99,713,44,0.9,0.8,Cab
D0122,Driver_122,4.66,392,51,0.94,0.0,Bike
D0123,Driver_123,4.87,280,5,0.9,3.6,Auto
D0124,Driver_124,4.43,596,26,0.84,1.3,Bike
D0125,Driver_125,5.0,741,63,0.94,1.3,Bike
D0126,Driver_126,4.44,792,50,0.76,7.6,Bike
D0127,Driver_127,4.61,308,43,1.0,2.2,Auto
D0128,Driver_128,4.58,506,6,0.96,2.1,Bike
D0129,Driver_129,4.72,482,3,0.86,0.0,Auto
D0130,Driver_130,4.52,439,3,0.93,1.6,Auto
D0131,Driver_131,4.93,707,77,0.98,1.9,Cab
D0132,Driver_132,4.53,713,90,1.0,3.9,Cab
D0133,Driver_133,4.09,478,33,0.89,2.1,Auto
D0134,Driver_134,4.11,583,71,0.92,0.0,Cab
D0135,Driver_135,4.05,98,10,0.85,2.1,Auto
D0136,Driver_136,4.77,724,18,1.0,2.2,Cab
D0137,Driver_137,4.42,639,41,0.96,4.1,Auto
D0138,Driver_138,4.38,31,0,0.83,3.0,Bike
D0139,Driver_139,4.03,472,14,0.93,1.9,Cab
D0140,Driver_140,4.47,512,35,0.76,3.8,Cab
D0141,Driver_141,4.99,204,4,0.75,0.0,Bike
D0142,Driver_142,4.21,646,5,0.85,3.2,Auto
D0143,Driver_143,4.57,248,23,0.86,0.0,Cab
D0144,Driver_144,4.44,385,45,1.0,6.1,Cab
D0145,Driver_145,4.02,101,14,0.79,7.1,Bike
D0146,Driver_146,4.49,298,23,0.82,0.0,Bike
D0147,Driver_147,4.26,504,52,0.84,4.5,Bike
D0148,Driver_148,4.54,98,7,0.89,1.8,Auto
D0149,Driver_149,4.28,31,1,0.91,0.2,Bike
D0150,Driver_150,4.38,233,0,0.94,3.2,Cab
