booking_id,customer_id,driver_id,booking_time,pickup_location,drop_location,city,vehicle_type,payment_method,distance_km,trip_duration_min,base_fare,surge_multiplier,traffic_level,weather_condition,ride_status,cancelled_by,driver_delay_min
B00036,C0255,D0016,2026-02-11 16:37:00,Andheri,Malad,Mumbai,Bike,UPI,2.02,4.8,52.12,1.32,Medium,Rain,Completed,Unknown,0.0
B00037,C0138,D0022,2026-02-17 05:31:00,Viman Nagar,Baner,Pune,Auto,UPI,6.48,18.1,118.32,1.06,Medium,Clear,Completed,Unknown,8.6
B00038,C0102,D0105,2026-03-18 19:06:00,Ameerpet,Kukatpally,Hyderabad,Auto,Card,8.02,24.9,132.18,1.77,High,Clear,Completed,Unknown,2.0
B00039,C0083,D0017,2026-02-26 06:53:00,Secunderabad,Kukatpally,Hyderabad,Cab,Wallet,4.82,10.6,157.48,1.3,Medium,Rain,Completed,Unknown,6.0
B00040,C0348,D0071,2026-03-15 08:44:00,Hauz Khas,Pitampura,Delhi,Auto,Cash,13.55,30.5,181.95,1.44,Medium,Clear,Completed,Unknown,0.0
B00041,C0239,D0027,2026-02-17 18:51:00,Whitefield,Jayanagar,Bengaluru,Cab,Wallet,2.37,7.6,123.18,1.81,High,Clear,Completed,Unknown,4.7
B00042,C0391,D0033,2026-03-14 01:35:00,Secunderabad,Kukatpally,Hyderabad,Cab,UPI,6.36,18.1,179.04,1.04,Medium,Clear,Completed,Unknown,0.0
B00043,C0012,D0093,2026-01-21 03:42:00,Hauz Khas,Rohini,Delhi,Auto,UPI,4.5,8.5,100.5,1.05,Low,Clear,Completed,Unknown,3.8
B00044,C0116,D0023,2026-02-22 09:24:00,Rohini,Lajpat Nagar,Delhi,Auto,Wallet,8.08,32.0,132.72,1.93,High,Rain,Cancelled,Customer,6.9
B00045,C0234,D0032,2026-01-31 20:16:00,HSR Layout,Koramangala,Bengaluru,Auto,UPI,17.01,33.6,213.09,1.05,Low,Clear,Completed,Unknown,0.8
B00046,C0281,D0029,2026-02-09 15:46:00,Secunderabad,Gachibowli,Hyderabad,Auto,Cash,15.71,31.8,201.39,1.03,Low,Clear,Completed,Unknown,3.9
B00047,C0226,D0004,2026-02-23 22:22:00,Malad,Borivali,Mumbai,Cab,Cash,4.67,11.8,155.38,1.05,Medium,Cloudy,Cancelled,Driver,11.7
B00048,C0152,D0035,2026-01-18 08:53:00,Baner,Kothrud,Pune,Bike,UPI,12.37,36.2,114.22,1.75,High,Clear,Completed,Unknown,10.0
B00049,C0024,D0024,2026-03-22 10:29:00,Ameerpet,Secunderabad,Hyderabad,Bike,Wallet,2.04,4.2,52.24,1.09,Low,Clear,Cancelled,Customer,0.0
B00050,C0392,D0033,2026-02-26 00:21:00,Bandra,Borivali,Mumbai,Bike,UPI,7.66,15.0,85.96,1.08,Low,Clear,Completed,Unknown,1.6
B00051,C0109,D0062,2026-02-07 13:26:00,Wakad,Baner,Pune,Bike,UPI,13.44,26.0,120.64,1.14,Low,Cloudy,Completed,Unknown,2.6
B00052,C0234,D0125,2026-02-20 00:41:00,Malad,Andheri,Mumbai,Auto,Cash,1.94,6.1,77.46,1.3,High,Cloudy,Completed,Unknown,3.8
B00053,C0193,D0093,2026-02-08 14:45:00,Banjara Hills,Secunderabad,Hyderabad,Cab,UPI,2.5,9.4,125.0,1.31,High,Cloudy,Cancelled,Customer,4.9
B00054,C0191,D0007,2026-01-20 18:55:00,Banjara Hills,Kukatpally,Hyderabad,Cab,Cash,4.07,8.1,146.98,1.53,Low,Clear,Cancelled,Customer,0.0
B00055,C0037,D0071,2026-03-09 22:15:00,Noida Sector 18,Janakpuri,Delhi,Cab,UPI,5.93,10.8,173.02,1.3,Low,Rain,Cancelled,Customer,0.3
B00056,C0139,D0114,2026-02-10 01:18:00,Electronic City,HSR Layout,Bengaluru,Cab,Cash,5.93,12.6,173.02,1.11,Low,Clear,Cancelled,Customer,0.4
B00057,C0002,D0100,2026-03-08 04:53:00,Ameerpet,Secunderabad,Hyderabad,Bike,Cash,1.07,3.0,46.42,1.06,Medium,Clear,Cancelled,Driver,0.0
B00058,C0129,D0115,2026-02-21 17:36:00,Lajpat Nagar,Dwarka,Delhi,Auto,UPI,2.32,9.4,80.88,1.97,High,Rain,Completed,Unknown,1.7
B00059,C0363,D0060,2026-02-27 00:59:00,Whitefield,HSR Layout,Bengaluru,Cab,UPI,2.48,4.5,124.72,1.14,Low,Clear,Completed,Unknown,1.6
B00060,C0003,D0028,2026-01-12 11:06:00,Saket,Hauz Khas,Delhi,Auto,Wallet,1.84,3.6,76.56,1.02,Low,Clear,Incomplete,Unknown,3.6
B00061,C0114,D0038,2026-03-10 17:35:00,Marathahalli,Whitefield,Bengaluru,Bike,Cash,2.27,5.0,53.62,1.44,Medium,Cloudy,Completed,Unknown,2.9
B00062,C0162,D0063,2026-01-10 16:49:00,Banjara Hills,Madhapur,Hyderabad,Auto,UPI,1.02,3.1,69.18,1.09,Medium,Cloudy,Cancelled,Customer,0.0
B00063,C0146,D0116,2026-01-24 01:43:00,Wakad,Kharadi,Pune,Cab,Card,45.0,172.9,720.0,1.63,High,Rain,Completed,Unknown,2.8
B00064,C0232,D0050,2026-01-28 23:59:00,Marathahalli,Jayanagar,Bengaluru,Auto,Card,4.12,8.4,97.08,1.05,Low,Cloudy,Completed,Unknown,7.4
B00065,C0006,D0095,2026-01-26 23:38:00,Baner,Wakad,Pune,Bike,UPI,1.71,4.8,50.26,1.05,Medium,Cloudy,Completed,Unknown,2.3
B00066,C0157,D0050,2026-02-08 23:15:00,Whitefield,MG Road,Bengaluru,Bike,Card,4.92,8.0,69.52,1.14,Low,Clear,Completed,Unknown,0.9
B00067,C0064,D0053,2026-02-17 03:55:00,Whitefield,Koramangala,Bengaluru,Cab,Card,16.45,36.1,320.3,1.04,Low,Cloudy,Completed,Unknown,7.2
B00068,C0291,D0099,2026-01-25 20:20:00,Secunderabad,Madhapur,Hyderabad,Bike,Card,2.51,5.4,55.06,1.11,Medium,Clear,Incomplete,Unknown,9.8
B00069,C0058,D0133,2026-03-12 21:17:00,Borivali,Chembur,Mumbai,Auto,UPI,12.4,26.2,171.6,1.21,Low,Rain,Completed,Unknown,4.6
B00070,C0279,D0031,2026-03-16 00:18:00,Kharadi,Kothrud,Pune,Bike,Card,13.54,37.8,121.24,1.04,Medium,Cloudy,Completed,Unknown,6.8
B00071,C0390,D0069,2026-01-25 05:03:00,Wakad,Baner,Pune,Bike,UPI,2.32,4.8,53.92,1.26,Low,Rain,Completed,Unknown,4.0
B00072,C0134,D0023,2026-03-03 02:02:00,Ameerpet,Madhapur,Hyderabad,Auto,UPI,3.0,6.1,87.0,1.11,Low,Clear,Incomplete,Unknown,8.5
B00073,C0187,D0121,2026-02-23 04:42:00,Noida Sector 18,Rohini,Delhi,Auto,Card,1.37,4.4,72.33,1.36,High,Clear,Cancelled,Driver,5.8
B00074,C0080,D0139,2026-02-24 00:21:00,Ameerpet,Kukatpally,Hyderabad,Auto,Card,7.64,12.8,128.76,1.12,Low,Cloudy,Completed,Unknown,1.8
B00075,C0291,D0026,2026-01-26 23:28:00,Pitampura,Connaught Place,Delhi,Cab,UPI,4.24,8.8,149.36,1.09,Medium,Clear,Completed,Unknown,4.5
B00076,C0311,D0021,2026-01-18 03:03:00,Jayanagar,Koramangala,Bengaluru,Auto,Cash,3.68,6.1,93.12,1.12,Low,Cloudy,Completed,Unknown,0.0
B00077,C0001,D0052,2026-03-12 04:54:00,Gachibowli,Kukatpally,Hyderabad,Bike,Wallet,5.75,13.8,74.5,1.0,Low,Cloudy,Completed,Unknown,5.5
B00078,C0095,D0142,2026-01-13 15:24:00,Kukatpally,Ameerpet,Hyderabad,Cab,UPI,2.16,5.2,120.24,1.13,Medium,Clear,Completed,Unknown,4.1
B00079,C0042,D0079,2026-02-25 02:27:00,Hinjewadi,Baner,Pune,Cab,UPI,1.84,4.1,115.76,1.09,Low,Clear,Completed,Unknown,6.3
B00080,C0105,D0136,2026-01-16 11:11:00,Madhapur,Ameerpet,Hyderabad,Bike,Card,5.36,10.4,72.16,1.1,Low,Clear,Cancelled,Customer,4.0
B00081,C0384,D0083,2026-03-15 12:50:00,Madhapur,Banjara Hills,Hyderabad,Cab,Cash,40.25,76.3,653.5,1.0,Low,Cloudy,Completed,Unknown,5.0
B00082,C0255,D0131,2026-03-29 17:37:00,Whitefield,Electronic City,Bengaluru,Auto,Card,4.03,9.9,96.27,1.43,Medium,Clear,Completed,Unknown,0.0
B00083,C0348,D0022,2026-01-24 08:37:00,Indiranagar,Whitefield,Bengaluru,Bike,UPI,6.02,13.5,76.12,1.43,Medium,Cloudy,Cancelled,Customer,1.0
B00084,C0277,D0140,2026-03-30 14:40:00,Karol Bagh,Connaught Place,Delhi,Cab,Cash,12.31,29.8,262.34,1.11,Medium,Clear,Completed,Unknown,5.5
B00085,C0180,D0079,2026-02-25 18:16:00,Viman Nagar,Baner,Pune,Bike,Cash,3.88,12.7,63.28,1.99,High,Rain,Cancelled,Driver,2.5
B00086,C0088,D0066,2026-02-23 13:25:00,Malad,Andheri,Mumbai,Cab,UPI,1.97,5.4,117.58,1.09,Medium,Clear,Completed,Unknown,10.8
B00087,C0161,D0026,2026-02-19 15:09:00,Madhapur,Banjara Hills,Hyderabad,Bike,UPI,14.46,31.0,126.76,1.05,Medium,Cloudy,Completed,Unknown,0.0
B00088,C0236,D0033,2026-01-24 02:42:00,Banjara Hills,Secunderabad,Hyderabad,Bike,UPI,4.06,9.0,64.36,1.06,Low,Cloudy,Completed,Unknown,0.0
B00089,C0290,D0063,2026-01-12 10:44:00,Indiranagar,Marathahalli,Bengaluru,Auto,UPI,6.87,15.4,121.83,1.22,Low,Rain,Cancelled,Customer,0.8
B00090,C0196,D0134,2026-01-24 14:53:00,Colaba,Chembur,Mumbai,Auto,UPI,5.04,12.4,105.36,1.28,Medium,Rain,Cancelled,Customer,0.0
B00091,C0209,D0015,2026-03-19 04:44:00,Baner,Kharadi,Pune,Auto,Card,1.38,3.1,72.42,1.13,Low,Clear,Completed,Unknown,1.0
B00092,C0206,D0062,2026-01-12 14:54:00,Dadar,Andheri,Mumbai,Cab,UPI,1.49,3.2,110.86,1.11,Medium,Clear,Completed,Unknown,2.1
B00093,C0040,D0118,2026-03-22 13:19:00,Kukatpally,Ameerpet,Hyderabad,Auto,Card,1.66,4.0,74.94,1.21,Low,Rain,Cancelled,Customer,4.5
B00094,C0063,D0140,2026-02-28 23:19:00,Baner,Wakad,Pune,Cab,Wallet,1.49,3.2,110.86,1.33,Low,Rain,Completed,Unknown,5.7
B00095,C0386,D0005,2026-01-03 15:51:00,Hauz Khas,Saket,Delhi,Cab,Card,12.62,29.8,266.68,1.15,Low,Clear,Completed,Unknown,7.9
B00096,C0371,D0071,2026-02-24 05:08:00,Ameerpet,Gachibowli,Hyderabad,Auto,Cash,3.21,7.5,88.89,1.11,Low,Clear,Completed,Unknown,6.3
B00097,C0279,D0013,2026-03-15 19:09:00,Madhapur,Secunderabad,Hyderabad,Bike,Cash,2.57,7.2,55.42,1.48,Medium,Clear,Completed,Unknown,9.8
B00098,C0301,D0094,2026-01-22 02:44:00,Hinjewadi,Wakad,Pune,Cab,Card,3.88,8.6,144.32,1.02,Medium,Cloudy,Completed,Unknown,9.0
B00099,C0295,D0076,2026-03-13 14:41:00,Malad,Dadar,Mumbai,Auto,Cash,5.99,17.6,113.91,1.01,Medium,Cloudy,Cancelled,Customer,0.0
B00100,C0139,D0023,2026-01-28 10:12:00,Secunderabad,Kukatpally,Hyderabad,Auto,Cash,11.34,32.1,162.06,1.23,Medium,Rain,Completed,Unknown,11.2
B00101,C0078,D0056,2026-03-21 07:49:00,Chembur,Powai,Mumbai,Auto,Cash,13.77,27.7,183.93,1.67,Low,Rain,Incomplete,Unknown,6.9
B00102,C0095,D0005,2026-03-22 16:56:00,HSR Layout,Indiranagar,Bengaluru,Bike,Cash,1.36,4.1,48.16,1.0,Medium,Smog,Completed,Unknown,9.6
B00103,C0050,D0029,2026-02-12 14:34:00,Malad,Powai,Mumbai,Auto,UPI,4.76,14.0,102.84,1.11,Medium,Clear,Completed,Unknown,3.2
B00104,C0307,D0142,2026-01-15 02:28:00,Karol Bagh,Dwarka,Delhi,Auto,UPI,1.48,3.6,73.32,1.03,Medium,Clear,Completed,Unknown,1.0
B00105,C0332,D0079,2026-03-28 02:07:00,Bandra,Chembur,Mumbai,Auto,UPI,4.55,13.1,100.95,1.02,Medium,Clear,Cancelled,Driver,0.7
B00106,C0201,D0039,2026-02-11 06:52:00,Baner,Kharadi,Pune,Auto,Card,2.09,5.0,78.81,1.02,Low,Clear,Completed,Unknown,10.3
B00107,C0323,D0131,2026-01-22 07:31:00,Baner,Kharadi,Pune,Bike,UPI,9.67,21.8,98.02,1.52,Medium,Cloudy,Incomplete,Unknown,5.3
B00108,C0227,D0022,2026-01-23 02:16:00,Chembur,Dadar,Mumbai,Auto,UPI,4.13,9.4,97.17,1.1,Low,Cloudy,Completed,Unknown,2.1
B00109,C0209,D0011,2026-02-17 08:46:00,Connaught Place,Janakpuri,Delhi,Bike,UPI,5.99,15.1,75.94,1.5,Medium,Clear,Completed,Unknown,0.0
B00110,C0147,D0006,2026-02-14 03:18:00,Gachibowli,Ameerpet,Hyderabad,Auto,Wallet,1.82,5.0,76.38,1.12,Medium,Clear,Completed,Unknown,0.8
B00111,C0139,D0005,2026-02-02 08:50:00,Madhapur,Secunderabad,Hyderabad,Auto,Cash,8.2,19.9,133.8,1.7,Medium,Rain,Incomplete,Unknown,11.2
B00112,C0324,D0068,2026-03-03 16:57:00,Karol Bagh,Janakpuri,Delhi,Cab,UPI,7.26,16.4,191.64,1.13,Low,Cloudy,Cancelled,Customer,4.5
B00113,C0025,D0023,2026-03-30 20:22:00,Dwarka,Rohini,Delhi,Cab,Wallet,3.38,9.2,137.32,1.02,Medium,Clear,Completed,Unknown,9.6
B00114,C0068,D0055,2026-03-22 17:07:00,Banjara Hills,Ameerpet,Hyderabad,Cab,Card,2.28,6.6,121.92,1.84,High,Clear,Completed,Unknown,15.9
B00115,C0149,D0014,2026-03-08 05:49:00,Bandra,Colaba,Mumbai,Auto,Cash,1.06,2.8,69.54,1.06,Medium,Smog,Cancelled,Customer,0.0
B00116,C0155,D0022,2026-01-21 06:01:00,Andheri,Colaba,Mumbai,Bike,Card,5.29,15.9,71.74,1.3,Medium,Rain,Completed,Unknown,10.1
B00117,C0237,D0053,2026-01-03 06:35:00,MG Road,HSR Layout,Bengaluru,Cab,UPI,1.56,3.5,111.84,1.08,Low,Clear,Cancelled,Driver,7.3
B00118,C0046,D0093,2026-01-08 22:05:00,Karol Bagh,Janakpuri,Delhi,Cab,UPI,23.7,51.7,421.8,1.01,Low,Clear,Completed,Unknown,6.9
B00119,C0391,D0018,2026-01-03 15:22:00,Andheri,Malad,Mumbai,Auto,UPI,3.17,8.0,88.53,1.35,Medium,Rain,Completed,Unknown,6.5
B00120,C0024,D0053,2026-01-24 04:57:00,Hauz Khas,Dwarka,Delhi,Auto,UPI,6.28,14.4,116.52,1.0,Low,Clear,Completed,Unknown,0.8
B00121,C0094,D0141,2026-03-29 00:56:00,Electronic City,Whitefield,Bengaluru,Bike,UPI,6.61,15.6,79.66,1.05,Medium,Cloudy,Cancelled,Customer,0.0
B00122,C0317,D0109,2026-01-09 11:38:00,Chembur,Bandra,Mumbai,Auto,UPI,5.04,15.3,105.36,1.11,Medium,Clear,Completed,Unknown,0.9
B00123,C0248,D0090,2026-02-16 01:16:00,Electronic City,Koramangala,Bengaluru,Cab,Card,21.9,58.5,396.6,1.13,Medium,Clear,Completed,Unknown,0.0
B00124,C0166,D0005,2026-02-08 13:23:00,Noida Sector 18,Janakpuri,Delhi,Auto,UPI,2.3,7.4,80.7,1.36,High,Cloudy,Completed,Unknown,9.9
B00125,C0159,D0121,2026-01-12 06:42:00,Rohini,Connaught Place,Delhi,Auto,Wallet,2.18,4.3,79.62,1.01,Low,Clear,Incomplete,Unknown,0.0
B00126,C0335,D0004,2026-02-14 07:33:00,Kukatpally,Gachibowli,Hyderabad,Bike,UPI,2.46,7.7,54.76,1.7,High,Clear,Completed,Unknown,12.9
B00127,C0046,D0072,2026-02-01 16:22:00,Indiranagar,Jayanagar,Bengaluru,Auto,UPI,5.13,8.8,106.17,1.08,Low,Cloudy,Completed,Unknown,8.5
B00128,C0216,D0095,2026-02-14 23:49:00,Dwarka,Noida Sector 18,Delhi,Bike,Card,4.0,8.5,64.0,1.13,Low,Clear,Completed,Unknown,0.1
B00129,C0364,D0136,2026-01-24 22:37:00,Janakpuri,Karol Bagh,Delhi,Auto,Cash,6.36,16.1,117.24,1.05,Medium,Clear,Completed,Unknown,9.5
B00130,C0015,D0004,2026-03-21 10:08:00,Kothrud,Baner,Pune,Bike,Cash,10.46,17.4,102.76,1.32,Low,Rain,Completed,Unknown,13.2
B00131,C0036,D0126,2026-02-05 17:39:00,Wakad,Hinjewadi,Pune,Auto,Wallet,14.25,25.9,188.25,1.46,Low,Cloudy,Completed,Unknown,7.5
B00132,C0245,D0040,2026-03-22 12:43:00,Whitefield,Indiranagar,Bengaluru,Cab,Cash,17.18,65.3,330.52,1.42,High,Clear,Completed,Unknown,5.9
B00133,C0062,D0105,2026-03-17 02:04:00,Gachibowli,Banjara Hills,Hyderabad,Cab,Card,3.65,10.8,141.1,1.14,Medium,Clear,Completed,Unknown,0.5
B00134,C0222,D0060,2026-02-24 23:13:00,Secunderabad,Banjara Hills,Hyderabad,Auto,Wallet,11.49,20.1,163.41,1.13,Low,Cloudy,Completed,Unknown,2.6
B00135,C0350,D0067,2026-03-18 17:52:00,Marathahalli,HSR Layout,Bengaluru,Auto,Wallet,4.33,10.0,98.97,1.54,Low,Cloudy,Completed,Unknown,0.0
B00136,C0122,D0139,2026-02-14 17:41:00,Whitefield,Jayanagar,Bengaluru,Cab,Cash,4.98,15.4,159.72,1.77,High,Clear,Completed,Unknown,7.8
B00137,C0389,D0107,2026-03-27 20:54:00,Wakad,Viman Nagar,Pune,Auto,UPI,3.34,10.0,90.06,1.01,Medium,Cloudy,Completed,Unknown,9.8
B00138,C0104,D0018,2026-01-27 19:27:00,Marathahalli,Electronic City,Bengaluru,Cab,Cash,16.96,50.1,327.44,1.83,High,Cloudy,Completed,Unknown,1.3
B00139,C0002,D0078,2026-02-03 14:03:00,Wakad,Kothrud,Pune,Cab,UPI,4.44,10.0,152.16,1.23,Medium,Rain,Cancelled,Driver,8.1
B00140,C0079,D0131,2026-01-20 10:01:00,Kukatpally,Banjara Hills,Hyderabad,Cab,Card,3.89,11.4,144.46,1.37,High,Clear,Completed,Unknown,2.1
B00141,C0365,D0090,2026-03-24 00:17:00,Dadar,Chembur,Mumbai,Auto,UPI,4.14,8.1,97.26,1.02,Low,Clear,Completed,Unknown,1.6
B00142,C0178,D0102,2026-02-21 17:29:00,Lajpat Nagar,Pitampura,Delhi,Cab,Cash,3.93,11.5,145.02,1.8,High,Clear,Completed,Unknown,1.1
B00143,C0101,D0084,2026-03-30 17:44:00,Bandra,Dadar,Mumbai,Cab,UPI,10.1,37.6,231.4,1.81,High,Clear,Completed,Unknown,10.8
B00144,C0296,D0069,2026-03-31 16:34:00,Andheri,Borivali,Mumbai,Bike,Wallet,3.37,7.9,60.22,1.05,Medium,Clear,Completed,Unknown,9.2
B00145,C0006,D0066,2026-01-02 15:27:00,Ameerpet,Secunderabad,Hyderabad,Cab,Cash,3.26,7.3,135.64,1.33,Medium,Rain,Completed,Unknown,0.2
B00146,C0220,D0121,2026-01-30 06:34:00,Noida Sector 18,Rohini,Delhi,Cab,UPI,20.49,33.5,376.86,1.29,Low,Rain,Cancelled,Customer,0.8
B00147,C0400,D0044,2026-03-23 15:45:00,Dwarka,Rohini,Delhi,Bike,UPI,6.96,12.4,81.76,1.05,Low,Clear,Cancelled,Customer,4.2
B00148,C0355,D0035,2026-03-05 18:03:00,Marathahalli,Whitefield,Bengaluru,Auto,UPI,2.96,5.9,86.64,1.51,Low,Cloudy,Completed,Unknown,4.3
B00149,C0146,D0129,2026-01-05 13:02:00,Noida Sector 18,Pitampura,Delhi,Bike,Cash,11.55,19.2,109.3,1.22,Low,Rain,Cancelled,Driver,5.7
B00150,C0271,D0079,2026-01-11 12:56:00,Ameerpet,Banjara Hills,Hyderabad,Auto,UPI,3.06,8.3,87.54,1.13,Medium,Clear,Completed,Unknown,0.0
B00151,C0099,D0001,2026-03-26 18:24:00,Indiranagar,Electronic City,Bengaluru,Cab,UPI,14.03,41.6,286.42,1.77,High,Cloudy,Completed,Unknown,2.1
B00152,C0007,D0016,2026-02-09 07:48:00,Kharadi,Baner,Pune,Cab,Card,4.29,9.3,150.06,1.46,Medium,Clear,Completed,Unknown,0.6
B00153,C0050,D0062,2026-01-10 05:32:00,Connaught Place,Rohini,Delhi,Bike,UPI,9.24,15.6,95.44,1.15,Low,Clear,Completed,Unknown,9.2
B00154,C0271,D0102,2026-01-25 05:00:00,Lajpat Nagar,Janakpuri,Delhi,Auto,UPI,1.02,3.6,69.18,1.33,High,Cloudy,Cancelled,Driver,3.2
B00155,C0031,D0004,2026-01-30 19:03:00,Andheri,Malad,Mumbai,Bike,Card,5.08,13.9,70.48,1.41,Medium,Clear,Completed,Unknown,8.2
B00156,C0124,D0132,2026-03-02 12:31:00,Electronic City,Marathahalli,Bengaluru,Auto,Card,4.47,13.0,100.23,1.06,Medium,Smog,Cancelled,Driver,3.8
